HDFC BANK LIMITED - STATEMENT OF ACCOUNT
Account No :,50200012345678
Account Branch :,BERHAMPUR ODISHA
Statement From :,05/03/26

Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
31/03/26,RAZORPAY SETTLEMENT SBIN260327127123                        ,BR0008827625,31/03/26,,"2,748.28","56,59,140.98"
31/03/26,RAZORPAY SETTLEMENT UTIB260326209869                        ,BR1271144862,31/03/26,,"10,842.01","56,69,982.99"
31/03/26,TRF FROM RAZORPAY REF SBIN260327614 CR                      ,BR2542269331,31/03/26,,"4,999.00","56,74,981.99"
31/03/26,RAZORPAY SETTLEMENT HDFC260326393976                        ,BR2827966167,31/03/26,,"83,392.54","57,58,374.53"
31/03/26,IMPS/P2A/HDFC2603298/RAZORPAY/SETTL                         ,BR2869407635,31/03/26,,"8,734.46","57,67,108.99"
31/03/26,MB/KKBK260327143495/RAZORPAYSOFT/PAYOUT                     ,BR2984947441,31/03/26,,"4,485.72","57,71,594.71"
31/03/26,MB/UTIB2603275/RAZORPAYSOFT/PAYOUT                          ,BR3047847525,31/03/26,,"14,987.67","57,86,582.38"
31/03/26,IMPS/P2A/HDFC26032/RAZORPAY/SETTL                           ,BR5892101773,31/03/26,,"1,266.04","57,87,848.42"
31/03/26,ACH C- RAZORPAY-SETTLEMENT-ICIC26032667                     ,BR6696072614,31/03/26,,"6,786.25","57,94,634.67"
31/03/26,RAZORPAY SETTLEMENT HDFC260329513857                        ,BR6945535517-STALE,31/03/26,,"5,498.00","58,00,132.67"
31/03/26,RAZORPAY SETTLEMENT SBIN260327206122                        ,BR7369497477,31/03/26,,"1,28,012.58","59,28,145.25"
31/03/26,REV/RETURN NEFT SBIN260324840585 BENEFICIARY                ,BR7500624962-REV,31/03/26,"15,998.00",,"59,12,147.25"
31/03/26,RAZORPAY SETTLEMENT ICIC260322015962                        ,BR9307471845,31/03/26,,"34,680.29","59,46,827.54"
31/03/26,RAZORPAY SETTLEMENT ICIC260326081076                        ,BR9659750303,31/03/26,,"14,380.49","59,61,208.03"
31/03/26,RAZORPAY SETTLEMENT KKBK260328851048                        ,BR9772071959,31/03/26,,"73,205.93","60,34,413.96"
31/03/26,GST REFUND ORDER 989940358063                               ,ORP00005,31/03/26,,"90,679.00","61,25,092.96"
01/04/26,TRF FROM RAZORPAY REF 1CIC260329660020 CR                   ,BR0331087525,31/03/26,,"6,345.93","61,31,438.89"
01/04/26,ACH C- RAZORPAY-SETTLEMENT-SBIN260328876                    ,BR8051127080,31/03/26,,799.00,"61,32,237.89"
01/04/26,RAZORPAY SETTLEMENT ICIC260330077230                        ,BR3063385227,01/04/26,,"2,435.60","61,34,673.49"
01/04/26,RAZORPAY SETTLEMENT HDFC260330105189                        ,BR4129374591,01/04/26,,"38,845.03","61,73,518.52"
01/04/26,RAZORPAY SETTLEMENT PART 1/2 SBIN260328497168/1             ,BR4436825422-P1,01/04/26,,"7,901.57","61,81,420.09"
01/04/26,RAZORPAY SETTLEMENT SBIN260327293934                        ,BR5378783097,01/04/26,,"65,301.75","62,46,721.84"
01/04/26,ACH C- RAZORPAY-SETTLEMENT-KKBK260323457501                 ,BR6044314068,01/04/26,,"11,039.40","62,57,761.24"
01/04/26,REV/RETURN NEFT HDFC260329513857 BENEFICIARY                ,BR6945535517-REV,01/04/26,"5,498.00",,"62,52,263.24"
01/04/26,RE-SETL RAZORPAY SBIN260324840585                           ,BR7500624962-RE,01/04/26,,"15,998.00","62,68,261.24"
01/04/26,RAZORPAY SETTLEMENT HDFC260327412092                        ,BR8768446055,01/04/26,,"37,871.57","63,06,132.81"
02/04/26,IMPS/P2A/UTIB260327451325/RAZORPAY/SETTL                    ,BR9802491713,31/03/26,,"13,498.00","63,19,630.81"
02/04/26,RAZORPAY SETTLEMENT HDFC260330881202                        ,BR0518966026,02/04/26,,"45,055.89","63,64,686.70"
02/04/26,RE-SETL RAZORPAY HDFC260329513857                           ,BR6945535517-RE,02/04/26,,"5,498.00","63,70,184.70"
02/04/26,RAZORPAY SETTLEMENT ICIC260330279505                        ,BR7534780092,02/04/26,,"1,15,720.57","64,85,905.27"
02/04/26,MB/KKBK260330717922/RAZORPAYSOFT/PAYOUT                     ,BR8267966037,02/04/26,,"12,668.23","64,98,573.50"
03/04/26,IMPS/P2A/HDFC260327908789/RAZORPAY/SETTL                    ,BR3826600433,01/04/26,,"16,573.79","65,15,147.29"
03/04/26,RAZORPAY SETTLEMENT SBIN260327321146                        ,BR9334019019,01/04/26,,"9,945.90","65,25,093.19"
03/04/26,RE-SETL RAZORPAY SBIN260324040676                           ,BR5198085959-RE,03/04/26,,"15,150.29","65,40,243.48"
04/04/26,RAZORPAY SETTLEMENT PART 2/2 SBIN260328497168/2             ,BR4436825422-P2,03/04/26,,"3,386.39","65,43,629.87"
05/04/26,IMPS/P2A/UTIB260324060562/RAZORPAY/SETTL                    ,BR8678911240,05/04/26,,"4,499.00","65,48,128.87"
06/04/26,RAZORPAY SETTLEMENT UTIB260330394986                        ,BR6144283697,06/04/26,,"3,410.23","65,51,539.10"
06/04/26,RTGS CR 549995433380 DIRECTORS LOAN                         ,ORP00017,06/04/26,,"55,388.77","66,06,927.87"
07/04/26,RAZORPAY SETTLEMENT HDFC260325560731                        ,BR6088957980,05/04/26,,"2,987.32","66,09,915.19"
